Z,Y,X,raw core,raw hollow,DoG core,DoG hollow,override
saved,parameters,"(core, vicinity, zerolvl, toplvl,transp):",-17.797000000001422,7643.5135205078186,133.47750000000005,8898.5,0.8
37,496,481,496.866,456.026,-7.87412,-6.56249,
37,511,436,202.468,187.576,-13.9031,-9.29901,
37,518,459,195.264,183.328,5.79741,0.959438,
37,522,465,209.363,196.866,-9.33848,-2.13178,
37,524,406,292.501,262.819,-3.83355,-2.39989,
37,535,553,295.439,267.843,0.887033,3.22741,
37,550,603,193.52,184.685,0.28608,-1.16314,
37,560,694,605.287,540.642,-0.993499,0.896014,
37,565,601,204.312,187.772,-1.12223,-1.67757,
37,567,498,261.669,215.883,-0.564452,-1.87042,
37,570,694,616.879,581.629,-1.86572,-1.50392,
37,573,519,224.058,203.284,-12.3244,-11.8146,
37,573,689,613.283,561.688,-2.41832,-1.97386,
37,576,554,286.478,240.983,-0.355242,-0.027182,7
37,586,639,190.268,181.558,-1.19162,-0.402913,
37,595,690,629.36,603.09,0.0256737,0.106039,
37,600,459,177.472,169.566,-2.16125,-1.10464,
37,606,642,153.435,149.282,0.44983,-0.191861,
37,606,652,159.115,151.955,-3.38351,-1.37417,
37,608,584,200.494,179.389,-7.21781,-6.1515,
37,613,640,149.434,142.744,-1.44827,-1.67199,
37,622,613,168.441,158.5,0.0256737,0.106039,
37,623,575,177.512,164.106,-1.66036,-0.929496,
37,624,650,161.335,152.905,-15.4519,-2.72398,
37,625,466,175.935,169.603,-1.66036,-0.929496,
37,626,618,156.358,148.197,0.0446184,0.0553254,
37,627,590,154.206,147.542,-2.85681,-1.68763,
37,631,609,170.824,161.391,-10.0079,-10.0289,
37,643,641,184.688,177.149,-11.3175,-8.8107,
37,645,467,233.638,214.904,0.256865,-0.110225,
37,647,474,245.775,226.582,0.921462,0.45211,
37,651,573,802.635,728.142,0.304814,0.0547478,
37,651,616,182.428,174.741,52.8988,31.1842,
37,651,622,188.567,179.219,0.887033,3.22741,
37,656,479,198.231,182.346,50.8793,31.9084,
37,663,588,224.372,194.088,0.0646707,-0.112347,
37,670,683,173.033,165.339,50.8793,31.9084,
37,672,665,143.803,137.517,-0.622595,-0.136244,
37,684,441,583.664,456.937,43.5963,20.8019,
37,692,403,135.433,130.958,0.289196,0.215991,
37,695,407,137.99,132.444,-7.23279,-5.07984,
37,700,469,254.048,231.68,0.318027,-0.137587,
37,702,413,135.8,129.949,-4.21018,-3.96665,
37,703,405,132.591,128.288,-0.614913,-0.023896,
37,712,434,131.63,126.851,-3.73677,-4.03281,
37,713,418,130.216,125.453,-0.039808,-0.0557815,
37,722,424,127.233,123.621,-3.47566,-4.12716,
37,733,425,124.234,121.84,-0.0863204,-0.167637,
37,733,454,126.951,122.878,-3.80964,-4.21588,
37,736,689,130.352,124.805,-3.4703,-0.444034,
37,738,402,121.861,119.232,-4.57886,-4.44451,
37,741,434,122.497,119.114,-0.182195,-0.0613371,
37,741,462,128.525,120.361,-5.41651,-5.03721,
37,744,408,122.015,118.533,0.110853,-0.318863,
37,745,405,121.384,118.613,-8.12003,-6.00747,
37,748,439,121.506,118.49,-0.601407,0.110239,
37,748,687,120.465,116.952,2.69321,0.211465,
37,753,455,120.469,117.017,0.226782,-0.13949,
37,754,427,120.749,116.752,-2.93017,-2.01161,
37,755,687,125.218,115.23,-6.27254,-2.14409,
37,757,463,118.328,116.074,-6.39307,-3.60923,
37,757,487,121.446,118.013,-14.012,-6.50629,
37,758,434,120.218,116.616,-7.36106,-5.43225,
37,760,479,119.208,117.144,-0.262015,-0.0803773,
37,762,415,121.526,117.922,-7.36106,-5.43225,
37,762,642,120.226,115.545,-0.518442,-0.137057,
37,763,406,118.423,116.525,-7.36106,-5.43225,
37,763,423,118.39,116.517,0.104951,0.122322,
37,766,427,120.828,115.843,-7.03776,-6.54635,
37,766,596,119.59,115.637,-14.3738,-9.4879,
37,767,423,117.944,115.086,-3.98246,-4.75505,
37,767,436,117.507,115.224,-0.435098,-0.122088,
37,767,470,117.742,114.43,-0.104717,-0.642043,
37,768,451,119.354,114.227,-0.104011,-0.0185371,
37,769,553,116.993,113.949,3.68388,0.249964,
37,769,604,118.596,115.065,-0.482837,-0.134845,
37,770,574,117.474,113.533,9.33732,3.82216,
37,770,580,118.312,115.399,-0.197989,-0.700841,
37,771,619,118.136,114.762,7.29526,4.37814,
37,771,661,118.216,115.135,-5.80663,-2.8096,
37,772,549,117.717,115.173,15.2201,10.6157,
37,772,623,119.791,114.373,3.69821,-2.87211,
37,774,412,117.608,115.813,19.5561,17.8001,
37,774,507,117.993,114.581,-9.82963,-4.19982,
37,774,571,115.884,113.412,24.1271,16.9669,
37,775,401,115.939,113.799,-10.6709,-7.82687,
37,775,421,114.939,113.287,22.3833,15.708,
