Z,Y,X,raw core,raw hollow,DoG core,DoG hollow,override
saved,parameters,"(core, vicinity, zerolvl, toplvl,transp):",-5.2295159847469408e-12,1003.7546999511725,32.7675078125,32767.5078125,0.8
98,449,379,211.246,199.544,-0.191687,0.136413,
98,455,402,229.679,219.471,-0.447955,-0.0584774,
98,462,624,233.865,221.554,-0.152083,0.00990363,
98,465,472,240.65,233.306,-0.0283183,0.158798,
98,466,458,228.955,219.643,1.16266,0.682129,
98,469,435,221.66,216.266,8.92926,11.3198,
98,470,393,224.152,213.723,1.27896,0.68561,
98,478,393,216.232,204.717,0.634448,0.140807,
98,480,389,208.427,197.537,0.809115,0.511558,
98,484,454,215.903,208.465,0.0496881,-0.0526559,
98,488,379,218.481,208.988,-1.70919,0.162033,
98,490,422,219.975,211.79,-1.10517,-0.0244099,
98,491,435,212.119,204.99,-1.98968,0.142272,
98,498,437,231.416,222.587,0.0456869,0.0941674,
98,504,478,241.646,225.329,0.313419,0.495608,
98,511,481,222.012,217.122,0.0456869,0.0941674,
98,513,474,248.626,232.374,0.546704,0.166909,
98,518,467,260.856,232.198,0.250967,-0.113445,
98,524,443,242.175,231.818,-0.956325,0.00342899,
98,528,421,237.102,223.702,-1.22182,-0.0830391,
98,528,462,218.284,210.565,0.160414,-0.265165,
98,533,392,208.211,197.563,-0.447955,-0.0584774,
98,535,419,219.955,210.076,-1.7476,-0.0895962,
98,536,427,226.297,216.675,-1.23929,-0.370772,
98,541,379,203.821,195.591,-0.213307,-0.157364,
98,546,401,215.237,204.886,-1.10517,-0.0244099,
98,551,388,200.371,193.653,1.19829,0.210246,
98,552,419,238.347,224.079,0.820385,-0.193643,
98,560,565,208.415,199.248,-0.0141249,0.0537241,
98,573,384,202.875,194.273,-0.234177,0.195946,
98,575,459,212.937,206.711,-1.03042,-0.309429,
98,575,553,213.642,206.306,0.479308,-0.33612,
98,588,462,221.125,208.268,-0.508418,-0.539679,
98,590,481,226.256,213.42,1.02077,0.39697,
98,591,539,223.084,214.416,-0.997383,-0.527571,
98,594,463,217.303,209.696,-0.271283,0.615126,
98,595,468,218.917,207.517,-2.40121,-0.337305,
98,602,465,219.462,209.359,-0.382703,0.0111345,
98,604,538,230.013,217.324,-1.88186,-0.242448,
98,611,519,226.287,216.984,-1.10419,-0.323879,
98,615,471,216.362,204.788,-1.88186,-0.242448,
98,617,496,207.235,201.081,-0.949146,-0.296294,
98,618,463,210.968,199.387,0.161258,0.548957,
98,619,506,226.233,216.214,-0.143661,0.108465,
98,623,528,224.894,217.656,1.22445,0.349267,
98,626,508,213.58,205.646,-0.553,-0.246505,
98,632,460,199.239,189.778,1.08379,0.463307,
