Z,Y,X,raw core,raw hollow,DoG core,DoG hollow,override
saved,parameters,"(core, vicinity, zerolvl, toplvl,transp):",-2.3844225205404967e-12,1006.9814628906254,89.643000000000001,14940.5,0.8
81,443,467,328.342,294.423,2.44031,-0.867138,
81,450,545,597.521,438.271,-0.922614,-0.370181,7
81,469,531,342.607,305.631,-0.965842,-0.840062,
81,475,537,263.106,251.617,1.92669,0.644108,
81,494,620,217.816,207.52,0.508923,-1.86421,
81,499,554,231.38,219.926,-1.13985,-0.725616,
81,500,485,242.276,230.199,-4.16078,-4.07672,
81,500,563,258.005,225.011,-0.776951,-1.32859,7
81,511,484,239.911,226.949,-2.79792,-0.775292,
81,513,546,216.806,205.483,-0.445178,0.254611,
81,513,625,269.788,242.789,1.98499,0.848011,
81,517,526,239.602,222.944,0.221191,-0.264697,
81,521,475,216.291,203.089,1.50353,1.26313,
81,529,432,252.73,229.037,-1.36562,-0.107733,
81,532,431,251.623,226.275,1.50353,1.26313,
81,533,621,222.103,214.268,-1.13069,-0.4389,
81,535,625,230.502,215.072,-1.17897,-0.857258,
81,538,509,222.387,209.248,-1.31391,0.0623407,
81,540,553,212.866,205.228,-0.0779636,-0.839454,
81,547,606,235.949,228.085,1.9945,0.667293,
81,551,568,242.351,223.226,-0.0779636,-0.839454,
81,553,557,228.658,215.662,-0.952136,-0.49809,
81,555,554,235.379,214.756,-1.03364,-0.695745,
81,566,481,220.198,210.305,-1.27231,0.160767,
81,592,532,219.882,209.148,1.78346,1.39501,
81,597,527,226.628,211.885,0.404539,-0.258741,
81,602,521,236.097,211.614,2.91486,2.34374,
81,603,461,307.614,254.379,-2.41241,-0.58903,7
81,606,474,238.853,227.176,17.5177,5.01404,
81,614,529,226.847,217.159,-3.46294,-0.76518,
81,623,547,240.434,224.04,20.4118,4.33454,
81,624,555,255.535,236.46,-0.705896,0.123988,
81,624,610,267.376,257.145,4.95324,3.21373,
81,629,515,240.173,225.573,-0.952136,-0.49809,
81,632,586,253.823,244.493,-8.78996,-0.710198,
81,632,618,294.141,279.307,-0.407157,-0.0358094,
81,633,518,236.24,224.83,-2.41191,-0.0680668,
81,634,469,240.74,227.856,0.247363,-0.290999,
81,636,500,212.481,204.245,0.108188,0.767108,
81,636,539,225.412,216.092,3.07064,0.5859,
81,638,579,255.914,244.172,3.12769,1.12811,
81,640,549,234.92,224.856,-0.514123,-0.376082,
81,641,566,250.578,241.131,0.877104,0.542796,
81,645,624,296.644,288.209,-1.12242,-0.333287,
81,646,484,224.184,214.512,2.19993,0.466412,
81,647,575,247.063,233.588,0.221191,-0.264697,
81,649,616,283.799,278.715,11.9376,11.4315,
81,652,592,238.358,225.611,0.712417,0.0200156,
81,653,587,241.711,230.678,-1.23318,-1.10408,
81,657,416,237.394,227.278,-1.16572,-0.854291,
81,658,423,242.038,228.356,0.378107,-0.797327,
81,661,621,282.824,272.083,-0.818404,-0.0399549,
81,664,557,234.893,224.448,0.153938,0.157036,
81,668,529,222.831,210.627,-0.0932797,0.0962919,
81,673,609,264.623,253.288,-0.236571,-0.0591966,
81,677,552,225.455,212.305,0.428242,0.0918069,
81,680,586,225.974,220.266,0.2077,-0.198607,
81,681,607,261.629,247.473,-0.140463,-0.233672,
81,682,532,221.882,213.312,-1.86038,-0.903903,
81,682,595,240.811,228.544,-1.16877,-0.316441,
81,685,564,225.127,209.842,-1.5311,0.607,
81,688,422,321.743,266.462,1.25066,0.56607,7
81,693,586,244.551,231.732,0.619477,0.707804,
81,695,434,266.956,244.576,-0.643388,-0.172582,
81,695,545,221.496,210.029,0.619477,0.707804,
81,697,610,256.485,246.122,1.14,0.323337,
81,699,588,235.205,227.916,2.46004,0.617728,
81,703,486,252.683,223.011,-2.23406,-0.743101,7
81,703,514,207.085,193.118,3.58538,1.32765,
81,704,499,229.958,218.764,-0.265393,-0.565583,
81,707,558,224.482,218.252,3.58538,1.32765,
81,719,586,245.924,231.953,-0.192007,0.101813,
81,722,570,247.227,233.209,3.17646,1.34651,
81,724,442,200.683,193.145,-1.62789,-0.912768,
81,724,574,241.274,228.359,1.78076,1.30874,
81,724,581,246.096,235.315,-0.729056,-0.58197,
81,725,530,220.849,211.527,1.252,0.460836,
81,727,490,193.757,186.885,-1.03228,-0.032229,
81,728,628,315.228,300.887,1.252,0.460836,
81,729,431,228.228,212.672,-2.22586,-1.14913,
81,729,510,226.021,212.045,1.09143,0.356072,
81,730,574,239.169,227.504,0.257216,0.028693,
81,731,562,238.124,227.329,1.78086,0.456122,
81,731,571,234.18,225.84,-0.319156,-0.0167574,
81,734,598,285.537,274.868,1.2052,0.603213,
81,738,477,221.332,205.712,-0.645109,-0.655199,
81,738,500,222.112,208.678,1.95702,-0.0952402,
81,740,441,200.73,190.857,-0.239573,-0.495983,
81,749,620,307.918,295.278,1.84,-0.0334909,
81,750,527,217.68,205.014,-1.31391,0.0623407,
81,750,562,251.117,237.104,0.872079,0.179317,
81,754,508,219.617,207.231,1.01038,-0.488077,
81,759,424,266.304,230.094,-0.188758,0.192487,
81,760,516,238.769,221.009,-0.496098,-0.672581,
81,764,450,242.107,209.245,-0.0609289,-0.194186,
81,768,496,221.953,208.47,0.372502,0.100821,
81,769,580,310.071,285.482,-0.406517,-0.207903,
81,776,563,260.209,249.883,-0.990747,-0.50971,
81,790,564,277.782,262.019,1.35156,1.11377,
82,454,507,842.389,555.72,0.561831,0.416369,7
82,456,606,237.427,229.922,3.17825,1.18861,
82,468,518,342.822,318.204,3.29957,0.55555,
82,496,609,215.448,209.186,-0.705896,0.123988,
82,497,597,228.672,208.777,0.0204418,0.464374,
82,499,533,223.405,215.838,-1.12242,-0.333287,
82,506,444,204.337,188.115,-0.690507,-0.164236,
82,508,602,238.385,224.528,-1.16877,-0.316441,
82,509,553,224.873,210.005,0.0,0.046825,
82,510,544,213.445,209.399,2.3969,0.671167,
82,510,599,244.899,224.225,0.0,0.0,
82,514,555,214.501,206.867,-0.379535,-0.265701,
82,516,584,490.835,341.984,0.0,0.0,
82,517,599,241.875,227.042,-0.265393,-0.565583,
82,518,606,259.792,241.061,0.0,0.0,
82,519,459,211.816,202.148,3.88348,0.679471,
82,519,552,212.061,202.377,0.0,0.0,
82,519,566,235.332,215.777,-1.16572,-0.854291,
82,523,562,220.139,207.872,0.0,0.0,
82,524,531,225.094,217.513,1.24054,0.763673,
82,524,554,216.942,207.745,0.0,0.0,
82,524,570,236.55,218.446,-1.6487,-0.552828,
82,524,614,230.905,220.546,0.0,0.0,
82,524,618,230.302,220.711,4.89083,1.76952,
82,525,602,246.284,229.532,0.0,0.0,
82,527,533,222.252,214.804,-0.265393,-0.565583,
82,529,478,241.818,219.29,0.0,0.0,
82,529,555,220.136,210.031,0.8714,0.41713,
82,533,556,219.145,211.535,0.0,0.0,
82,537,591,280.893,248.18,1.92669,0.644108,
82,537,609,228.066,220.39,0.0,0.0,
82,539,603,235.777,223.432,1.14,0.323337,
82,539,627,236.284,222.664,0.0,0.0,
82,541,620,245.572,229.83,-1.70602,-0.454306,
82,542,567,226.448,214.205,0.0,0.0,
82,543,581,226.501,218.121,-1.26685,-0.266449,
82,544,588,235.381,224.912,0.0,0.0,
82,545,573,322.658,246.197,-2.10049,-0.496024,7
82,545,612,240.693,227.693,0.0,0.0,
82,554,620,310.106,266.382,-1.18046,0.0917467,7
82,556,503,233.355,222.934,0.0,0.0,
82,560,572,256.866,229.098,-0.527195,-0.323952,
82,561,527,264.192,241.777,0.0,0.0,
82,562,509,233.573,227.961,-0.265393,-0.565583,
82,564,556,228.251,218.756,0.0,0.0,
82,565,550,233.614,223.115,-0.0944473,-0.59107,
82,599,458,246.142,231.813,0.0,0.0,
82,599,553,249.963,234.418,5.13418,2.23623,
82,599,557,243.815,235.753,0.0,0.0,
82,600,418,228.733,216.044,1.05223,-0.542027,
82,600,466,256.156,228.912,0.0,0.0,
82,605,548,238.254,225.041,-0.425144,-0.247455,
82,606,537,240.565,228.733,0.0,0.0,
82,611,471,301.734,254.506,-1.35458,-0.47444,7
82,616,556,247.024,237.657,0.0,0.0,
82,618,512,235.94,223.442,-0.880569,-0.201517,
82,622,597,262.799,250.258,0.0,0.0,
82,630,436,244.697,231.871,-0.680281,-0.782416,
82,631,609,263.651,256.868,0.0,0.0,
82,632,537,228.555,223.163,-3.46294,-0.76518,
82,633,547,233.792,222.172,0.0,0.0,
82,634,472,238.552,227.424,-0.0295125,-0.0598829,
82,636,521,233.062,222.257,0.0,0.0,
82,638,533,228.356,214.451,1.05223,-0.542027,
82,638,605,267.145,251.697,0.0,0.0,
82,639,490,214.367,207.159,-0.0354894,-0.325869,
82,641,486,226.887,212.785,0.0,0.0,
82,644,514,226.299,211.586,-0.255691,-0.55826,
82,645,471,247.338,232.829,0.0,0.0,
82,645,504,226.275,212.152,-0.538802,0.437982,
82,645,572,239.508,233.312,0.0,0.0,
82,646,452,217.392,208.768,0.0332082,0.0835316,
82,646,566,240.315,234.315,0.0,0.0,
82,649,533,210.367,202.049,-1.03228,-0.032229,
82,650,502,231.624,216.183,0.0,0.0,
82,651,529,218.796,207.837,4.54778,2.39638,
82,653,601,254.859,242.525,0.0,0.0,
82,654,429,255.14,244.206,-0.445178,0.254611,
82,654,487,209.452,203.497,0.0,0.0,
82,654,533,213.898,206.984,-0.818404,-0.0399549,
82,657,496,237.715,227.428,0.0,0.0,
82,658,473,221.857,214.016,-0.0354894,-0.325869,
82,658,611,268.476,259.387,0.0,0.0,
82,660,540,221.791,215.536,-0.571822,-0.162168,
82,661,432,338.338,262.006,0.0,0.0,7
82,665,571,233.494,224.623,2.13454,0.433888,
82,666,421,261.485,243.112,0.0,0.0,
82,666,565,239.657,229.181,-1.97877,-0.965086,
82,668,430,419.767,281.485,0.0,0.0,7
82,670,504,210.235,203.168,-2.65337,-0.571153,
82,670,569,228.778,221.85,0.0,0.0,
82,670,592,241.094,235.588,-0.259446,-0.452479,
82,672,578,235.036,222.898,0.0,0.0,
82,673,513,211.215,200.783,0.315455,-0.160337,
82,673,591,243.151,231.218,0.0,0.0,
82,675,579,226.905,217.757,-1.13069,-0.4389,
82,676,556,228.545,220.507,0.0,0.0,
82,678,528,221.252,216.058,0.0332082,0.0835316,
82,681,450,252.087,240.397,0.0,0.0,
82,684,540,229.502,220.198,-1.6487,-0.552828,
82,684,589,230.83,224.565,-1.30314,-0.915814,
82,690,494,237.416,225.458,-0.961077,-0.228424,
82,690,623,268.178,253.049,-3.28301,-0.741007,
82,691,573,226.512,213.995,3.07064,0.5859,
82,695,424,298.272,266.912,-0.775148,-2.90013,
82,695,573,221.364,212.785,-1.62789,-0.912768,
82,697,525,235.516,220.571,-3.51496,-0.32652,
82,704,479,230.242,219.469,2.3969,0.671167,
82,709,612,267.691,258.506,-0.891216,-0.224443,
82,714,450,246.838,220.279,-0.00273429,0.588672,
82,715,521,228.811,212.361,1.689,0.450692,
82,715,554,250.237,223.194,-1.27918,-0.905249,
82,715,626,290.205,281.755,8.01066,2.44726,
82,719,507,251.122,223.228,4.56938,1.34446,
82,723,537,216.409,209.372,0.385307,1.13807,
82,724,620,330.698,305.327,2.09208,-0.242892,
82,727,519,232.017,214.868,-2.49968,0.365559,
82,727,615,345.205,307.671,0.247363,-0.290999,
82,728,428,228.163,212.24,-3.09156,-0.320278,
82,729,499,213.065,197.505,0.990056,0.456383,
82,729,529,226.109,215.868,-3.09156,-0.320278,
82,729,578,241.503,234.155,-0.154903,0.212745,
82,730,585,261.799,247.141,-0.211893,-0.794149,
82,732,535,215.681,208.18,-0.643388,-0.172582,
82,733,539,220.669,203.763,-0.622849,-0.604507,
82,734,621,313.293,300.728,-0.470818,-0.585157,
82,735,556,232.173,225.051,-0.872911,-0.62093,
82,736,471,204.892,199.285,-0.154903,0.212745,
82,736,566,236.65,229.003,-1.00335,-0.628558,
82,738,466,211.05,194.275,3.07064,0.5859,
82,738,604,288.377,277.887,-1.28918,-0.348019,
82,739,587,273.799,261.406,0.615229,0.137951,
82,740,628,301.701,284.746,-1.28918,-0.348019,
82,750,534,222.724,211.448,-0.379535,-0.265701,
82,756,598,307.964,295.105,-1.28918,-0.348019,
82,757,500,225.277,211.738,-0.645109,-0.655199,
82,761,596,309.348,295.68,6.5974,2.92916,
82,761,624,330.146,314.873,-0.0354894,-0.325869,
82,763,523,228.041,212.899,7.15714,2.83819,
82,764,508,293.886,251.372,-1.13985,-0.725616,7
82,764,596,314.096,293.391,7.15714,2.83819,
82,764,602,321.526,304.184,0.221191,-0.264697,
82,765,541,271.352,248.359,7.15714,2.83819,
82,770,519,234.408,218.917,-0.0944473,-0.59107,
82,770,590,308.839,293.871,7.15714,2.83819,
82,771,454,249.257,215.779,-1.65909,-0.938092,
82,782,567,292.358,271.347,-0.192007,0.101813,
82,794,576,305.35,279.555,4.09597,2.47107,
83,455,599,251.964,238.356,2.09208,-0.242892,
83,461,605,236.512,229.268,-3.31537,1.55471,
83,465,606,247.594,235.033,-1.27918,-0.905249,
83,480,605,226.965,217.391,-0.555499,2.82359,
83,485,613,221.665,213.339,-0.479985,0.331399,
83,488,541,244.062,225.199,-0.555499,2.82359,
83,488,625,221.569,211.079,-0.643388,-0.172582,
83,492,615,222.921,211.336,31.6724,8.00841,
83,497,433,199.022,189.494,-1.26702,-0.204574,
83,498,524,239.948,228.287,-5.59502,3.80897,
83,499,590,218.254,203.516,0.0292397,-0.307996,
83,499,626,221.673,211.983,-5.59502,3.80897,
83,501,543,241.378,222.88,2.3969,0.671167,
83,504,418,202.822,194.2,-4.61361,2.08459,
83,504,608,227.596,214.003,1.25748,0.0301772,
83,519,620,248.848,230.001,-4.61361,2.08459,
83,523,528,228.672,217.983,-2.00205,-0.479587,
83,525,473,209.335,201.525,2.99872,3.26953,
83,525,557,221.42,213.185,-0.445178,0.254611,
83,529,622,230.677,219.165,6.58993,2.87785,
83,536,550,220.578,208.598,-0.463475,-0.502121,
83,541,513,242.499,225.76,7.84452,2.01636,
83,541,545,228.165,214.527,-0.425144,-0.247455,
83,545,550,226.453,209.414,5.23267,1.5403,
83,547,555,226.716,215.498,-1.70602,-0.454306,
83,548,592,242.698,227.105,0.587335,1.46861,
83,549,488,226.686,218.056,0.351269,-0.46698,
83,558,473,230.085,217.962,0.587335,1.46861,
83,571,484,228.522,215.922,-0.944429,-0.570522,
83,581,566,262.57,249.394,-1.87536,2.01769,
83,586,547,225.54,217.722,-0.445178,0.254611,
83,591,440,226.325,213.77,5.90665,1.51435,
83,593,502,219.173,205.688,-0.201992,-0.469206,
83,596,521,212.464,205.102,-7.81265,6.04383,
83,599,544,225.779,217.62,-0.270134,-0.458375,
83,602,471,233.12,222.684,-4.94063,10.8301,
83,607,525,220.599,215.973,-0.818404,-0.0399549,
83,608,533,239.342,230.176,11.1317,13.2545,
83,609,548,235.11,225.845,-0.407157,-0.0358094,
83,610,418,220.799,207.64,39.63,11.6608,
83,610,561,254.6,247.192,-1.26702,-0.204574,
83,611,566,271.597,261.562,27.3046,12.5055,
83,612,513,233.005,216.414,-0.460602,-0.278964,
83,618,569,296.005,259.563,2.22233,-0.348124,7
83,625,513,234.599,227.527,-0.572464,0.0878847,
83,632,447,242.689,229.49,2.22233,-0.348124,
83,634,432,299.835,238.561,0.247363,-0.290999,7
83,636,494,214.914,206.524,2.22233,-0.348124,
83,638,509,238.887,221.726,-1.12242,-0.333287,
83,641,556,243.384,232.629,1.98377,-0.12835,
83,642,473,258.831,235.675,5.42972,1.82919,
83,642,545,231.971,220.783,1.98377,-0.12835,
83,644,536,218.871,210.041,-1.57708,-0.149474,
83,648,463,216.073,205.935,-0.298431,-0.206666,
83,648,548,226.808,215.096,0.216414,0.338792,
83,655,557,227.595,220.561,0.172298,-0.08221,
83,659,537,223.565,212.116,-0.776951,-1.32859,
83,659,584,248.142,235.268,0.823603,-0.395899,
83,660,454,247.42,227.234,-0.878478,-0.539838,
83,661,545,223.958,217.901,-0.397029,-1.02561,
83,661,600,257.802,246.361,-1.26702,-0.204574,
83,663,533,226.455,215.016,-2.45884,-0.96392,
83,664,609,263.54,254.863,0.07828,-0.400156,
83,666,454,224.451,219.049,-1.96838,-0.101565,
83,668,589,240.056,232.158,-0.00273429,0.588672,
83,669,599,253.983,238.684,1.9258,1.7123,
83,670,515,211.755,201.975,2.30552,1.98241,
83,671,596,246.84,237.242,4.05885,1.94502,
83,672,627,303.905,287.983,2.3969,0.671167,
83,675,523,232.188,222.169,6.09123,1.89468,
83,686,571,223.286,214.147,-0.776951,-1.32859,
83,687,609,266.292,251.2,5.72149,1.91846,
83,689,519,238.893,227.03,1.25066,0.56607,
83,690,433,256.078,243.588,3.9494,1.77148,
83,695,621,275.285,258.178,-0.759506,-0.415436,
83,696,419,314.085,278.355,1.82854,0.61038,
83,699,442,275.84,251.187,-0.0932797,0.0962919,
83,701,492,239.072,225.499,0.731028,0.374205,
83,701,584,244.661,230.963,-1.27918,-0.905249,
83,702,474,242.903,230.11,0.731028,0.374205,
83,702,561,229.981,212.847,1.54916,0.514526,
83,702,578,234.995,228.44,1.56909,0.321155,
83,711,478,232.561,220.834,-0.880569,-0.201517,
83,714,460,233.777,216.007,1.88575,0.324054,
83,715,525,226.192,217.406,-1.26685,-0.266449,
83,716,535,229.181,221.193,0.278627,0.0517946,
83,716,572,257.419,237.061,-2.10049,-0.496024,
83,718,428,313.016,247.65,0.71758,-0.127571,7
83,718,564,241.574,232.347,-0.878478,-0.539838,
83,719,620,303.054,284.803,0.71758,-0.127571,
83,720,592,256.074,246.306,-0.697703,-0.393928,
83,721,544,219.309,212.954,0.71758,-0.127571,
83,726,526,218.412,214.2,-0.270134,-0.458375,
83,726,535,215.693,206.997,0.935339,-0.156608,
83,726,551,237.686,226.217,-3.76379,-0.934652,
83,729,436,218.162,204.605,0.935339,-0.156608,
83,729,465,215.391,204.375,-0.645109,-0.655199,
83,732,520,219.758,209.264,-0.900096,0.103419,
83,733,466,207.207,198.848,-1.27918,-0.905249,
83,737,533,216.424,211.091,-0.898777,0.0189904,
83,740,493,212.641,198.94,-0.10629,-0.444796,
