Z,Y,X,raw core,raw hollow,DoG core,DoG hollow,override
saved,parameters,"(core, vicinity, zerolvl, toplvl,transp):",-1.250582970513392e-12,1000.1432863769537,54.852000000000004,7836.0,0.8
30,855,848,177.439,169.864,0.234118,-0.240994,
30,855,903,189.631,184.449,0.24029,0.0892422,
30,855,912,194.972,183.532,0.234118,-0.240994,
30,856,643,371.602,338.776,0.539752,-0.352291,
30,856,837,183.91,177.11,0.234118,-0.240994,
30,858,774,180.333,171.98,0.409088,-0.23836,
30,858,799,190.315,180.459,-0.409914,-0.332576,
30,858,922,199.431,190.636,0.710669,-0.135736,
30,859,833,183.918,181.215,-0.409914,-0.332576,
30,860,786,178.694,173.63,-0.439893,-0.111589,
30,860,792,182.142,174.845,-1.13457,-0.838524,
30,860,858,178.587,171.316,-1.31378,-0.330004,
30,861,822,189.551,185.521,-1.13457,-0.838524,
30,862,915,201.958,196.343,0.0868311,-0.186224,
30,863,921,198.954,193.269,-1.13457,-0.838524,
30,865,706,179.211,172.752,0.432263,-0.112497,
30,865,814,204.461,195.194,-1.5796,-0.910564,
30,865,871,183.431,177.156,-0.479298,0.107352,
30,866,884,235.579,208.736,-1.48763,-0.872483,
30,868,849,195.358,182.741,-1.2905,-0.266544,
30,871,757,168.952,164.448,-1.48763,-0.872483,
30,871,838,190.223,183.528,0.223474,-0.0468894,
30,872,638,208.358,202.736,-1.48763,-0.872483,
30,872,858,172.916,166.744,-1.22253,-0.298254,
30,873,828,194.872,183.47,-0.520155,-0.928049,
30,875,746,181.332,172.272,0.961819,0.118617,
30,875,925,190.631,180.206,0.350769,-0.87459,
30,877,880,175.624,171.653,-1.26748,-0.558849,
30,880,760,179.01,174.8,0.270382,-0.622431,
30,881,690,216.868,204.407,0.844105,0.0325754,
30,882,743,226.995,213.82,-0.0557663,-0.501693,
30,882,809,188.388,181.475,-1.4395,-0.0354958,
30,883,724,227.547,211.693,-0.0557663,-0.501693,
30,883,747,232.328,207.801,0.258548,0.403525,
30,884,887,194.337,182.003,-0.0557663,-0.501693,
30,884,912,179.198,170.358,-0.212344,0.123832,
30,885,877,173.284,166.083,-0.519515,-0.542665,
30,886,706,238.639,223.386,0.932681,0.384997,
30,886,736,233.746,212.454,-1.26383,-0.254971,
30,887,788,184.962,178.994,0.238458,0.0598504,
30,887,804,195.816,183.182,-1.2743,-0.131459,
30,888,811,185.427,175.584,-1.19373,-0.100216,
30,889,824,178.521,172.39,-1.2743,-0.131459,
30,889,837,191.512,177.39,0.460662,-0.360652,
30,892,694,210.454,200.525,-1.03468,-0.185982,
30,892,906,176.845,168.648,-0.572574,-0.210923,
30,893,640,223.651,215.933,-1.03468,-0.185982,
30,895,876,160.299,156.982,-1.22253,-0.298254,
30,896,802,185.665,174.238,-0.788015,-0.268535,
30,896,858,167.078,161.149,-0.663633,0.0654791,
30,897,642,225.578,219.489,-0.970508,-0.328907,
30,899,838,169.016,163.554,-0.658637,0.0741457,
30,900,819,198.999,178.587,-0.970508,-0.328907,
30,901,880,161.738,156.411,-1.22166,-0.711273,
30,903,635,233.893,223.759,-1.76082,0.0104626,
30,909,885,184.879,166.158,1.55902,0.751217,
30,909,927,202.755,185.699,1.17314,-0.0644761,
30,911,877,161.178,154.866,-0.580522,-0.379524,
30,914,755,184.858,175.8,1.5769,-0.174913,
30,914,766,181.01,173.326,0.641922,-0.0608493,
30,914,858,181.149,171.981,0.00535803,0.236379,
30,915,748,184.842,177.778,0.528824,-0.292751,
30,915,815,162.927,160.674,0.00535803,0.236379,
30,921,828,181.58,170.844,0.240611,0.273155,
30,922,857,179.67,169.205,-0.937244,0.478531,
30,923,778,173.212,168.183,1.30715,0.514196,
30,925,796,179.448,174.426,-0.937244,0.478531,
30,926,912,156.814,152.83,-0.394126,0.183494,
30,927,728,198.587,188.153,0.36217,0.137764,
30,932,901,213.732,197.95,0.780829,-0.373248,
30,934,744,182.055,170.714,0.36217,0.137764,
30,934,833,189.176,180.542,0.409088,-0.23836,
30,935,757,170.852,165.145,2.30286,-0.310114,
30,935,769,181.086,171.743,1.37606,0.0404146,
30,935,818,171.592,161.592,2.89875,-0.265956,
30,936,906,198.426,180.097,-1.4395,-0.0354958,
30,938,710,238.078,223.587,2.89875,-0.265956,
30,939,923,192.454,182.34,0.377143,-0.377331,
